Round_Won,TeamRatioUltimatesAll20,EnemyRatioUltimatesAll20,TeamRatioREX50,EnemyRatioREX50,NetHealthShards,NetEnergyShards,NetOrbs,First_Orb,Ultimates,Num_R,Num_EX1,Num_EX2,Control_Received,Control,Protection_Received,Protection,Damage_Received,Damage,Ping,ScorePerSecond
0,0,0,0,0,-1.0,6.0,-2.0,0.0,0.0,3.0,8.0,1.0,78.0,162.0,351.40002000000004,589.0783,647.0,551.8952,30.0,11.429592105263158
1,1,0,1,0,4.0,-2.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,52.0,215.4,704.08014,256.0,274.8,35.0,8.181588412698412
0,1,1,1,0,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,31.0,35.0,136.0,53.25,470.0,113.87762,55.0,5.6146561111111115
0,0,0,0,0,-1.0,2.0,-2.0,0.0,0.0,0.0,6.0,5.0,44.0,55.0,60.0,36.0,274.0,289.0,45.0,7.6
1,1,0,1,1,4.0,-1.0,1.0,1.0,0.0,2.0,2.0,1.0,103.0,62.0,198.33336,111.0,208.33336,479.0,85.0,5.873873873873874
1,0,1,0,1,4.0,-3.0,5.0,1.0,0.0,4.0,2.0,6.0,162.0,114.0,436.90002000000004,803.6,934.95,441.1,55.0,17.87763157894737
1,0,1,0,1,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,55.0,198.0,124.0,262.01562,264.0,15.0,4.614583333333333
0,0,1,0,1,-1.0,6.0,1.0,1.0,0.0,1.0,0.0,2.0,54.0,107.0,389.5,1158.1499,672.72003,568.744,15.0,11.25088282208589
0,0,1,0,1,-4.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,71.0,87.0,260.5,640.0,529.0,312.0,25.0,7.992307692307692
0,1,0,1,1,-4.0,2.0,3.0,1.0,0.0,4.0,0.0,0.0,62.0,45.0,125.0,15.0,342.0,430.0,15.0,4.188034188034188
0,0,1,0,1,6.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,102.0,24.0,242.06,148.06,490.0,266.68,35.0,11.24974358974359
0,1,1,1,1,0.0,-4.0,1.0,1.0,4.0,2.0,2.0,1.0,114.0,110.0,220.0,132.0,447.0,629.0,100.0,7.38135593220339
0,1,0,0,0,1.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,47.0,80.0,148.1,0.0,367.90558,466.0,25.0,9.578947368421053
1,0,1,0,0,6.0,-2.0,0.0,0.0,1.0,4.0,1.0,0.0,58.0,35.0,193.5,142.0,344.0,260.0,25.0,5.826666666666667
0,1,0,1,1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,11.0,10.0,28.0,239.0,212.45023999999998,20.0,5.714778181818182
0,0,0,1,0,2.0,0.0,-3.0,0.0,1.0,6.0,0.0,0.0,116.0,129.0,124.0,84.0,415.90117999999995,725.92084,60.0,10.317811428571428
1,1,1,1,1,4.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,42.0,169.3,404.0,264.0,155.0,35.0,6.604395604395604
1,0,0,1,0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,31.0,77.0,133.5,334.0,352.0,301.0,25.0,10.318840579710145
1,1,0,1,1,4.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,14.0,24.0,30.0,0.0,115.0,288.0,40.0,2.4
0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,43.0,21.0,92.0,32.0,328.0,239.81749,15.0,7.913986216216215
1,1,0,1,0,-4.0,-4.0,2.0,1.0,0.0,0.0,0.0,1.0,58.0,114.0,211.0,87.0,412.8535,535.0,90.0,6.133333333333334
0,1,0,1,1,6.0,3.0,-1.0,0.0,3.0,1.0,0.0,0.0,111.0,76.0,403.0,207.0,633.2,770.0,60.0,10.125
1,0,0,0,0,12.0,-2.0,1.0,1.0,0.0,1.0,5.0,3.0,108.0,109.0,382.0,284.0,580.2877,626.0,10.0,12.27710843373494
1,0,1,0,1,2.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,60.0,48.0,295.2,460.05457,356.3,386.56,30.0,12.780208142857143
1,0,0,1,0,14.0,0.0,3.0,1.0,1.0,7.0,0.0,7.0,67.0,98.0,261.0,37.0,293.0,854.78217,25.0,11.925086385542167
1,1,0,1,0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,77.0,46.0,211.0,428.8,246.51585,291.8,30.0,7.743434343434344
0,1,0,0,0,0.0,-2.0,-2.0,0.0,1.0,0.0,3.0,3.0,97.0,15.0,187.88,482.07995999999997,389.60004,247.5,45.0,10.199725479452054
1,0,0,1,1,-3.0,-1.0,0.0,1.0,0.0,1.0,1.0,4.0,19.0,39.0,73.87171,64.0,108.87170400000001,391.0,35.0,5.428571428571429
1,1,0,1,1,-3.0,-6.0,3.0,1.0,2.0,0.0,1.0,0.0,53.0,71.0,101.0,54.125,228.20001000000002,916.1850599999999,40.0,11.07776659574468
1,0,1,0,1,2.0,-2.0,0.0,0.0,1.0,1.0,2.0,0.0,34.0,26.0,108.80001999999999,188.59998000000002,170.69863999999998,487.81995,20.0,7.0241993
0,1,0,0,0,0.0,-4.0,1.0,1.0,2.0,0.0,0.0,0.0,97.0,49.0,171.16443999999998,36.0,384.23834,389.7713,35.0,7.5360523809523805
0,0,0,1,0,-2.0,0.0,-2.0,0.0,1.0,8.0,0.0,5.0,59.0,97.0,179.75,495.5,393.25,581.4,40.0,9.243307086614173
1,1,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,27.0,42.0,27.0,63.0,280.0,15.0,4.337662337662338
0,0,0,0,0,2.0,2.0,1.0,1.0,0.0,0.0,7.0,4.0,56.0,35.0,149.0,201.0,437.9604,336.0,25.0,11.0
0,1,0,1,0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,51.0,49.0,72.0,58.0,294.72382000000005,330.62942999999996,30.0,9.513683260869565
0,0,0,1,0,-4.0,1.0,-1.0,0.0,1.0,4.0,1.0,1.0,70.0,87.0,155.9614,304.46948,572.9037,567.5999,50.0,11.023785977011494
0,1,0,0,0,-4.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,65.0,31.0,40.0,10.0,338.0,235.0,30.0,5.411764705882353
0,0,0,0,1,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,49.0,15.0,0.0,0.0,222.0,56.0,15.0,3.0869565217391304
1,0,0,0,1,0.0,-1.0,-2.0,0.0,0.0,1.0,1.0,1.0,31.0,33.0,164.5,410.075,344.23334,187.4,25.0,9.137318840579711
1,0,1,1,1,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,37.0,38.0,224.0,96.0,244.8,100.0,5.007920792079208
0,0,0,0,0,7.0,2.0,0.0,1.0,0.0,1.0,4.0,3.0,85.0,268.0,223.5,441.75,434.53827,219.60003999999998,25.0,8.605092962962964
0,0,0,0,1,8.0,-4.0,-2.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,213.9,0.0,55.0,0.0
1,0,1,0,1,2.0,4.0,3.0,1.0,0.0,4.0,2.0,3.0,50.0,96.0,311.3,54.699996999999996,426.90033,679.0,45.0,12.38358204477612
1,0,0,0,1,4.0,0.0,3.0,1.0,0.0,2.0,1.0,2.0,50.0,90.0,190.48783999999998,491.54477,223.7513,402.40612999999996,5.0,14.056441428571429
1,0,0,0,1,8.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,94.0,114.0,228.6,348.6034,506.0,387.10355,20.0,11.035155194805196
1,0,0,1,0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,5.0,97.5,202.0,109.0,148.0,20.0,4.080459770114943
1,1,0,1,0,1.0,-4.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,32.0,30.0,20.0,162.0,330.95,15.0,4.9096153846153845
1,1,0,1,1,-2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,41.0,35.0,172.0,172.0,282.0,134.0,55.0,5.08955223880597
1,0,1,0,1,6.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,62.0,26.0,68.0,0.0,239.12001,469.0,55.0,3.9285714285714284
1,0,0,0,1,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,51.0,66.0,216.85,326.72997999999995,309.55,602.875,40.0,10.940714065934065
0,0,0,0,0,4.0,4.0,3.0,1.0,0.0,5.0,3.0,5.0,39.0,302.0,184.80002,145.20001000000002,404.29996,745.0,20.0,10.366956608695652
0,0,0,1,0,-2.0,-1.0,-2.0,0.0,2.0,5.0,0.0,0.0,163.0,293.0,432.41998,336.78995,870.05005,752.9,25.0,13.168475714285714
1,1,1,1,1,0.0,-2.0,1.0,1.0,2.0,2.0,0.0,0.0,55.0,54.0,15.0,72.0,220.0,471.0641,30.0,8.178960273972603
0,1,1,1,1,2.0,4.0,-2.0,0.0,2.0,1.0,1.0,1.0,46.0,136.0,0.0,0.0,214.80716,462.0,45.0,9.492063492063492
1,1,1,1,1,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,47.0,51.0,15.0,75.520004,179.52222,427.0,120.0,8.02202904347826
0,0,1,0,0,2.0,-2.0,-2.0,0.0,0.0,0.0,2.0,0.0,98.0,53.0,315.59997999999996,525.5,557.80005,220.5,35.0,11.75
1,0,0,1,1,4.0,5.0,2.0,1.0,2.0,1.0,0.0,0.0,72.0,185.0,219.0,279.0,484.6,599.0,15.0,10.42156862745098
0,0,0,0,0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,71.0,34.0,115.0,65.0,368.2,124.0,85.0,4.74468085106383
0,0,0,0,1,2.0,-1.0,-1.0,1.0,0.0,1.0,0.0,3.0,70.0,49.0,106.94,40.440002,360.8,304.0,35.0,7.0257143214285716
1,1,1,1,1,-4.0,4.0,1.0,1.0,2.0,3.0,0.0,0.0,58.0,43.0,240.0,349.0,338.0,532.8,70.0,10.753488372093022
0,0,0,0,0,0.0,5.0,-1.0,0.0,0.0,5.0,6.0,8.0,90.0,153.0,228.2,184.2,527.8,1555.0,20.0,12.872108843537415
0,0,1,1,1,-2.0,-2.0,-1.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,220.0,0.0,20.0,0.0
1,0,1,1,0,0.0,-1.0,-1.0,0.0,0.0,3.0,2.0,0.0,59.0,118.0,260.7,110.8,378.5,364.0,25.0,9.12
0,0,0,1,0,-4.0,-6.0,1.0,1.0,2.0,5.0,0.0,0.0,118.0,106.0,366.56564,652.7,594.96564,339.0,45.0,11.677659574468086
1,0,0,0,1,-2.0,2.0,0.0,0.0,1.0,3.0,8.0,0.0,134.0,43.0,226.575,201.09368999999998,480.7077,908.1463,15.0,14.225185061728396
0,0,0,0,0,1.0,-3.0,-1.0,1.0,0.0,2.0,0.0,0.0,100.0,54.0,185.5,116.30001999999999,490.40002000000004,213.0,30.0,5.6367650000000005
1,0,1,1,1,-2.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.0,29.0,113.0,159.0,55.0,194.0,636.0,40.0,14.618181818181819
0,1,1,1,0,-6.0,2.0,-2.0,0.0,0.0,3.0,0.0,0.0,87.0,22.0,62.800003000000004,34.0,383.12247,212.0,15.0,3.4358974358974357
0,1,0,1,0,-10.0,-4.0,-1.0,0.0,2.0,6.0,2.0,0.0,130.0,9.0,144.5,82.0,395.0,288.0,20.0,4.858974358974359
1,1,1,1,0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,4.0,109.0,34.0,107.0,45.5,420.85004000000004,222.0,45.0,5.688679245283019
1,0,1,1,1,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,34.0,67.0,58.0,4.0,225.17553999999998,580.23145,40.0,6.143692924528302
1,0,0,0,1,0.0,2.0,-1.0,0.0,0.0,4.0,4.0,1.0,45.0,84.0,243.6,219.6734,481.0,400.47482,85.0,7.041482200000001
0,0,0,1,1,-6.0,-4.0,-2.0,0.0,0.0,0.0,0.0,0.0,49.0,16.0,60.5,60.5,312.5,142.0,60.0,5.2023809523809526
1,0,0,1,0,2.0,4.0,1.0,0.0,4.0,4.0,0.0,5.0,82.0,71.0,210.0,31.0,318.0,826.5,20.0,7.1976744186046515
1,0,1,0,1,0.0,-2.0,2.0,1.0,0.0,1.0,2.0,1.0,114.0,61.0,162.99998,278.80002,262.5,269.0,15.0,6.0880002
1,0,0,0,1,6.0,4.0,0.0,0.0,0.0,1.0,2.0,6.0,11.0,53.0,85.0,38.0,133.0,373.78125,45.0,6.546214788732394
1,1,1,0,1,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,41.0,84.0,122.0,122.68,238.59999,647.0,135.0,7.690810810810812
0,0,0,0,0,-2.0,-1.0,-2.0,1.0,0.0,3.0,0.0,0.0,136.0,64.0,105.0,76.8,479.2,341.0,30.0,5.875609756097561
1,0,1,1,1,-8.0,-2.0,1.0,0.0,0.0,5.0,1.0,1.0,56.0,71.0,234.5,750.5,469.0,171.0,15.0,8.556034482758621
1,0,0,0,0,-4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,24.0,23.0,151.0,294.6001,175.0,131.5,30.0,4.62989793814433
0,1,0,1,0,1.0,-2.0,-2.0,0.0,2.0,5.0,4.0,0.0,35.0,91.0,71.0,97.200005,431.29152999999997,575.6002,50.0,11.750772384615384
1,1,0,1,0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,81.0,74.0,65.2,41.5,387.55997,601.22546,75.0,10.238935142857143
1,0,0,1,0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,19.0,94.0,193.61498999999998,96.0,280.04004,404.38412,65.0,7.719274285714284
1,0,1,1,0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,37.0,114.0,39.0,172.75,440.0,40.0,4.264462809917355
0,1,0,1,0,1.0,1.0,-3.0,0.0,1.0,1.0,2.0,1.0,56.0,92.0,239.0,611.9753,650.45483,316.8,30.0,9.451623148148148
1,0,0,0,1,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,87.0,135.0,300.5,24.0,416.0,808.0,20.0,13.246575342465754
1,0,1,0,1,0.0,1.0,2.0,1.0,0.0,2.0,15.0,0.0,39.0,77.0,181.9,349.2,253.0,367.4798,30.0,7.2152709090909095
0,0,0,1,1,0.0,-2.0,-1.0,0.0,0.0,3.0,0.0,0.0,30.0,84.0,132.82498,147.80498,475.1749,232.0,50.0,10.786162325581396
0,1,0,1,1,-2.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,30.0,60.0,75.0,15.0,301.8733,637.1274400000001,55.0,10.95580676923077
0,1,0,1,1,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,185.0,152.0,335.56458,741.5155599999999,740.05145,414.47552,65.0,12.457057904761905
1,1,1,1,1,-5.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,101.0,279.0,355.5,273.2149,403.0,896.0,140.0,14.77770306122449
1,0,0,0,0,4.0,8.0,0.0,0.0,0.0,2.0,4.0,1.0,109.0,44.0,340.9,191.0,530.7856,649.0,35.0,9.932584269662922
0,0,1,1,0,-8.0,2.0,-1.0,0.0,0.0,3.0,0.0,0.0,85.0,85.0,383.9437,520.2575,662.57666,555.90356,75.0,8.35367669064748
